Sheet,Board,Section,IC,IC Type,Pin Number,Pin Function,Active Low,Connected To,Direction,Confidence,Reviewer Notes
3B,Master,Playfield Address Generation,3M,74LS157,1,Select,N,BDEL2H from 7H,Input,Check,Seeded from playfield audit/RTL; confirm select label on Sheet 3B
3B,Master,Playfield Address Generation,3M,74LS157,2,A input,N,PABA0,Input,Check,CPU address side for PFA0; visually confirm
3B,Master,Playfield Address Generation,3M,74LS157,3,B input,N,8H,Input,Check,Video/timing side for PFA0; visually confirm
3B,Master,Playfield Address Generation,3M,74LS157,4,Y output,N,PFA0,Output,Check,Output to playfield RAM address
3B,Master,Playfield Address Generation,3M,74LS157,5,A input,N,PABA1,Input,Check,CPU address side for PFA1; visually confirm
3B,Master,Playfield Address Generation,3M,74LS157,6,B input,N,16H,Input,Check,Video/timing side for PFA1; visually confirm
3B,Master,Playfield Address Generation,3M,74LS157,7,Y output,N,PFA1,Output,Check,Output to playfield RAM address
3B,Master,Playfield Address Generation,3M,74LS157,9,Y output,N,PFA3,Output,Check,Output to playfield RAM address
3B,Master,Playfield Address Generation,3M,74LS157,10,B input,N,64H,Input,Check,Video/timing side for PFA3; visually confirm
3B,Master,Playfield Address Generation,3M,74LS157,11,A input,N,PABA3,Input,Check,CPU address side for PFA3; visually confirm
3B,Master,Playfield Address Generation,3M,74LS157,12,Y output,N,PFA2,Output,Check,Output to playfield RAM address
3B,Master,Playfield Address Generation,3M,74LS157,13,B input,N,32H,Input,Check,Video/timing side for PFA2; visually confirm
3B,Master,Playfield Address Generation,3M,74LS157,14,A input,N,PABA2,Input,Check,CPU address side for PFA2; visually confirm
3B,Master,Playfield Address Generation,3M,74LS157,15,/G enable,Y,Tied active / ground,Input,Check,LS157 enable expected active; visually confirm
3B,Master,Playfield Address Generation,3L,74LS157,1,Select,N,BDEL2H from 7H,Input,Check,Seeded from playfield audit/RTL; confirm select label on Sheet 3B
3B,Master,Playfield Address Generation,3L,74LS157,2,A input,N,PABA4,Input,Check,CPU address side for PFA4; visually confirm
3B,Master,Playfield Address Generation,3L,74LS157,3,B input,N,128H** / h128ss,Input,Check,Video/timing side for PFA4; visually confirm label
3B,Master,Playfield Address Generation,3L,74LS157,4,Y output,N,PFA4,Output,Check,Output to playfield RAM address
3B,Master,Playfield Address Generation,3L,74LS157,5,A input,N,PABA5,Input,Check,CPU address side for PFA5; visually confirm
3B,Master,Playfield Address Generation,3L,74LS157,6,B input,N,CUSD,Input,Check,Custom timing side for PFA5; visually confirm
3B,Master,Playfield Address Generation,3L,74LS157,7,Y output,N,PFA5,Output,Check,Output to playfield RAM address
3B,Master,Playfield Address Generation,3L,74LS157,9,Y output,N,PFA7,Output,Check,Output to playfield RAM address
3B,Master,Playfield Address Generation,3L,74LS157,10,B input,N,CUSF,Input,Check,Custom timing side for PFA7; visually confirm
3B,Master,Playfield Address Generation,3L,74LS157,11,A input,N,PABA7,Input,Check,CPU address side for PFA7; visually confirm
3B,Master,Playfield Address Generation,3L,74LS157,12,Y output,N,PFA6,Output,Check,Output to playfield RAM address
3B,Master,Playfield Address Generation,3L,74LS157,13,B input,N,CUSE,Input,Check,Custom timing side for PFA6; visually confirm
3B,Master,Playfield Address Generation,3L,74LS157,14,A input,N,PABA6,Input,Check,CPU address side for PFA6; visually confirm
3B,Master,Playfield Address Generation,3L,74LS157,15,/G enable,Y,Tied active / ground,Input,Check,LS157 enable expected active; visually confirm
3B,Master,Playfield Address Generation,3N,74LS157,1,Select,N,BDEL2H from 7H,Input,Check,Seeded from playfield audit/RTL; confirm select label on Sheet 3B
3B,Master,Playfield Address Generation,3N,74LS157,2,A input,N,PABA8,Input,Check,CPU address side for PFA8; visually confirm
3B,Master,Playfield Address Generation,3N,74LS157,3,B input,N,CUSG,Input,Check,Custom timing side for PFA8; visually confirm
3B,Master,Playfield Address Generation,3N,74LS157,4,Y output,N,PFA8,Output,Check,Output to playfield RAM address
3B,Master,Playfield Address Generation,3N,74LS157,5,A input,N,PABA9,Input,Check,CPU address side for PFA9; visually confirm
3B,Master,Playfield Address Generation,3N,74LS157,6,B input,N,CUSH,Input,Check,Custom timing side for PFA9; visually confirm
3B,Master,Playfield Address Generation,3N,74LS157,7,Y output,N,PFA9,Output,Check,Output to playfield RAM address
3B,Master,Playfield Address Generation,3N,74LS157,9,Y output,N,unused or not part of PFA0..10,Output,Check,RTL ignores high mux bit 3; visually confirm if unused/tied/local
3B,Master,Playfield Address Generation,3N,74LS157,10,B input,N,Tied/PRT or unused timing input,Input,Check,RTL placeholder is PRT=0; visually confirm schematic label
3B,Master,Playfield Address Generation,3N,74LS157,11,A input,N,Tied low or unused CPU high input,Input,Check,RTL placeholder is 0; visually confirm schematic tie
3B,Master,Playfield Address Generation,3N,74LS157,12,Y output,N,PFA10,Output,Check,Output to playfield RAM address
3B,Master,Playfield Address Generation,3N,74LS157,13,B input,N,PRT / timing input,Input,Check,RTL placeholder is PRT; visually confirm label
3B,Master,Playfield Address Generation,3N,74LS157,14,A input,N,PABA10,Input,Check,CPU address side for PFA10; visually confirm
3B,Master,Playfield Address Generation,3N,74LS157,15,/G enable,Y,Tied active / ground,Input,Check,LS157 enable expected active; visually confirm
3B,Master,Playfield Load Timing,11F,74LS74,1,/CLR,Y,Unclear local clear/preset line,Input,Check,Visible on Sheet 3B load crop but label is not readable
3B,Master,Playfield Load Timing,11F,74LS74,2,D input,N,B5M,Input,Check,Visible label on Sheet 3B load crop
3B,Master,Playfield Load Timing,11F,74LS74,3,CLK,N,NIBLOAD from 3F pin 3,Input,Check,Visible connection from 3F output; exact edge remains for audit
3B,Master,Playfield Load Timing,11F,74LS74,4,/PRE,Y,Tied high through PR176,Input,Check,Visible pull-up reference near pin 4
3B,Master,Playfield Load Timing,11F,74LS74,5,Q output,N,LDF,Output,Check,Visible label on Sheet 3B load crop
3B,Master,Playfield Load Timing,11F,74LS74,6,/Q output,Y,LDNIB,Output,Check,Visible label on Sheet 3B load crop; confirm active-low naming
3B,Master,Playfield Load Timing,3F,74LS08,1,AND input,N,B2H,Input,Check,Visible label on Sheet 3B load crop
3B,Master,Playfield Load Timing,3F,74LS08,2,AND input,N,B1H,Input,Check,Visible label on Sheet 3B load crop
3B,Master,Playfield Load Timing,3F,74LS08,3,AND output,N,NIBLOAD to 11F pin 3,Output,Check,Visible output into 11F clock path
3B,Master,Playfield Load Timing,10D,74LS00,1,NAND input,N,NIBLOAD/local load timing,Input,Check,Visible BYTLOAD gate area; exact source label needs reviewer confirmation
3B,Master,Playfield Load Timing,10D,74LS00,2,NAND input,N,B4H inverted timing from 10E,Input,Check,Visible BYTLOAD gate area; exact source label needs reviewer confirmation
3B,Master,Playfield Load Timing,10D,74LS00,3,NAND output,Y,BYTLOAD,Output,Check,Visible BYTLOAD label; important because Sheet 4A BYTLOAD substitute was rejected
3B,Master,Playfield Load Timing,10E,74LS04,1,Inverter input,N,B4H,Input,Check,Visible B4H inverter pair on Sheet 3B load crop
3B,Master,Playfield Load Timing,10E,74LS04,2,Inverter output,Y,B4H inverted local timing,Output,Check,Visible inverter output feeding load glue; exact bar label needs confirmation
3B,Master,Playfield Load Timing,10E,74LS04,13,Inverter input,N,B4H inverted/local timing,Input,Check,Visible second inverter in B4H load-glue chain
3B,Master,Playfield Load Timing,10E,74LS04,12,Inverter output,N,B4H restored/local timing,Output,Check,Visible second inverter output; exact destination needs confirmation
3B,Master,Playfield Character Latch,4K,74LS273,1,/CLR,Y,B4H,Input,Check,Visible B4H label to clear pin on Sheet 3B latch crop
3B,Master,Playfield Character Latch,4K,74LS273,2,Q0 output,N,PFP0,Output,Check,Visible output label
3B,Master,Playfield Character Latch,4K,74LS273,3,D0 input,N,PFD0,Input,Check,Visible input label
3B,Master,Playfield Character Latch,4K,74LS273,4,D1 input,N,PFD1,Input,Check,Visible input label
3B,Master,Playfield Character Latch,4K,74LS273,5,Q1 output,N,PFP1,Output,Check,Visible output label
3B,Master,Playfield Character Latch,4K,74LS273,6,Q2 output,N,PFP2,Output,Check,Visible output label
3B,Master,Playfield Character Latch,4K,74LS273,7,D2 input,N,PFD2,Input,Check,Visible input label
3B,Master,Playfield Character Latch,4K,74LS273,8,D3 input,N,PFD3,Input,Check,Visible input label
3B,Master,Playfield Character Latch,4K,74LS273,9,Q3 output,N,PFP3,Output,Check,Visible output label
3B,Master,Playfield Character Latch,4K,74LS273,11,CLK,N,Unclear local clock/load net,Input,Check,Pin visible but label is not readable in current crop
