Sheet,Board,Section,IC,IC Type,Pin Number,Pin Function,Connected To,Direction,Confidence,Reviewer Notes
4B,Master,Motion Object Buffers,7J,74LS163A,1,/CLR,MOHRO; off-sheet MOHRO; also shared with 7K pin 1,Input,High,Active low
4B,Master,Motion Object Buffers,7J,74LS163A,2,CLK,B5M; off-sheet timing rail; also counters and 93422/9T,Input,High,
4B,Master,Motion Object Buffers,7J,74LS163A,3,A preload,MOD0; off-sheet MOD0,Input,High,
4B,Master,Motion Object Buffers,7J,74LS163A,4,B preload,MOD1; off-sheet MOD1,Input,High,
4B,Master,Motion Object Buffers,7J,74LS163A,5,C preload,MOD2; off-sheet MOD2,Input,High,
4B,Master,Motion Object Buffers,7J,74LS163A,6,D preload,MOD3; off-sheet MOD3,Input,High,
4B,Master,Motion Object Buffers,7J,74LS163A,7,ENP,pullup rail via PR174; PR174 pullup bus,Tied,High,Confirmed pull-up rail
4B,Master,Motion Object Buffers,7J,74LS163A,9,/LOAD,MOHLO; off-sheet MOHLO; also 7K pin 9,Input,High,Active low
4B,Master,Motion Object Buffers,7J,74LS163A,10,ENT,pullup rail via PR174; PR174 pullup bus,Tied,High,Confirmed pull-up rail
4B,Master,Motion Object Buffers,7J,74LS163A,11,QD,address bit to 8J A3; 8J pin 1 A3,Output,High,
4B,Master,Motion Object Buffers,7J,74LS163A,12,QC,address bit to 8J A2; 8J pin 2 A2,Output,High,
4B,Master,Motion Object Buffers,7J,74LS163A,13,QB,address bit to 8J A1; 8J pin 3 A1,Output,High,
4B,Master,Motion Object Buffers,7J,74LS163A,14,QA,address bit to 8J A0; 8J pin 4 A0,Output,High,
4B,Master,Motion Object Buffers,7J,74LS163A,15,RIP,cascade ripple; 7K pin 10 ENT,Output,High,
4B,Master,Motion Object Buffers,7K,74LS163A,1,/CLR,MOHRO; off-sheet MOHRO; also 7J pin 1,Input,High,
4B,Master,Motion Object Buffers,7K,74LS163A,2,CLK,B5M; off-sheet timing rail; also counters and 93422/9T,Input,High,Confirm label reads B5M
4B,Master,Motion Object Buffers,7K,74LS163A,3,A preload,MOD4; off-sheet MOD4,Input,High,
4B,Master,Motion Object Buffers,7K,74LS163A,4,B preload,MOD5; off-sheet MOD5,Input,High,
4B,Master,Motion Object Buffers,7K,74LS163A,5,C preload,MOD6; off-sheet MOD6,Input,High,
4B,Master,Motion Object Buffers,7K,74LS163A,6,D preload,MOD7; off-sheet MOD7,Input,High,
4B,Master,Motion Object Buffers,7K,74LS163A,7,ENP,7J RIP/cascade node; 7J pin 15 and 7K pin 10 node,Input,Checked,Confirmed
4B,Master,Motion Object Buffers,7K,74LS163A,9,/LOAD,MOHLO; off-sheet MOHLO; also 7J pin 9,Input,High,
4B,Master,Motion Object Buffers,7K,74LS163A,10,ENT,7J RIP/cascade node; 7J pin 15 and 7K pin 7 node,Input,Checked,Confirmed
4B,Master,Motion Object Buffers,7K,74LS163A,11,QD,address bit to 8J A7; 8J pin 7 A7,Output,High,
4B,Master,Motion Object Buffers,7K,74LS163A,12,QC,address bit to 8J A6; 8J pin 6 A6,Output,High,
4B,Master,Motion Object Buffers,7K,74LS163A,13,QB,address bit to 8J A5; 8J pin 5 A5,Output,High,
4B,Master,Motion Object Buffers,7K,74LS163A,14,QA,address bit to 8J A4; 8J pin 21 A4,Output,High,
4B,Master,Motion Object Buffers,7K,74LS163A,15,RIP,no visible downstream use; local/no visible destination,Output,Checked,Confirmed no hidden connection
4B,Master,Motion Object Buffers,7L,74LS163A,1,/CLR,"/MOHRI; Sheet 4A, 8F pin 6; also shared with 7M pin 1",Input,High,Active low
4B,Master,Motion Object Buffers,7L,74LS163A,2,CLK,B5M; off-sheet timing rail; also counters and 93422/9T,Input,High,Confirm label reads B5M
4B,Master,Motion Object Buffers,7L,74LS163A,3,A preload,MOD0; off-sheet MOD0,Input,High,
4B,Master,Motion Object Buffers,7L,74LS163A,4,B preload,MOD1; off-sheet MOD1,Input,High,
4B,Master,Motion Object Buffers,7L,74LS163A,5,C preload,MOD2; off-sheet MOD2,Input,High,
4B,Master,Motion Object Buffers,7L,74LS163A,6,D preload,MOD3; off-sheet MOD3,Input,High,
4B,Master,Motion Object Buffers,7L,74LS163A,7,ENP,pullup rail via PR174; PR174 pullup bus,Tied,High,Confirm pull-up rail
4B,Master,Motion Object Buffers,7L,74LS163A,9,/LOAD,"/MOHLI; Sheet 4A, 11H pin12; also shared with 7M pin 9",Input,High,Active low
4B,Master,Motion Object Buffers,7L,74LS163A,10,ENT,pullup rail via PR174; PR174 pullup bus,Tied,High,Confirm pull-up rail
4B,Master,Motion Object Buffers,7L,74LS163A,11,QD,address bit to 8L A3; 8L pin 1 A3,Output,High,
4B,Master,Motion Object Buffers,7L,74LS163A,12,QC,address bit to 8L A2; 8L pin 2 A2,Output,High,
4B,Master,Motion Object Buffers,7L,74LS163A,13,QB,address bit to 8L A1; 8L pin 3 A1,Output,High,
4B,Master,Motion Object Buffers,7L,74LS163A,14,QA,address bit to 8L A0; 8L pin 4 A0,Output,High,
4B,Master,Motion Object Buffers,7L,74LS163A,15,RIP,cascade ripple; 7M pin 10 ENT,Output,High,
4B,Master,Motion Object Buffers,7M,74LS163A,1,/CLR,MOHRI; off-sheet MOHRI; also 7L pin 1,Input,High,
4B,Master,Motion Object Buffers,7M,74LS163A,2,CLK,B5M; off-sheet timing rail; also counters and 93422/9T,Input,High,Confirm label reads B5M
4B,Master,Motion Object Buffers,7M,74LS163A,3,A preload,MOD4; off-sheet MOD4,Input,High,
4B,Master,Motion Object Buffers,7M,74LS163A,4,B preload,MOD5; off-sheet MOD5,Input,High,
4B,Master,Motion Object Buffers,7M,74LS163A,5,C preload,MOD6; off-sheet MOD6,Input,High,
